org_id,label,classification
3730,STOA,Organization
3901,,Organization
3902,,Organization
3903,,Organization
3904,,Organization
3905,,Organization
3906,,Organization
3907,,Organization
3908,,Organization
3909,,Organization
3910,,Organization
3911,,Organization
3912,,Organization
3913,,Organization
3914,,Organization
3915,,Organization
3916,,Organization
3917,,Organization
3918,,Organization
3919,,Organization
3920,,Organization
3921,,Organization
3922,,Organization
3923,,Organization
3924,,Organization
3925,,Organization
3926,,Organization
3927,,Organization
3928,,Organization
3929,,Organization
3930,,Organization
3931,,Organization
3932,,Organization
3933,,Organization
3934,,Organization
3935,,Organization
3936,,Organization
3937,,Organization
3938,,Organization
3939,,Organization
3940,,Organization
3941,,Organization
3942,,Organization
3943,,Organization
6561,NI,Organization
6562,AFET,Organization
6563,DEVE,Organization
6564,INTA,Organization
6565,DMED,Organization
6566,DLAT,Organization
6567,BUDG,Organization
6568,CONT,Organization
6569,DEPA,Organization
6570,ECON,Organization
6571,DNAT,Organization
6572,EMPL,Organization
6573,DACP,Organization
6575,DAFR,Organization
6576,ITRE,Organization
6577,DCAB,Organization
6578,DPAC,Organization
6579,IMCO,Organization
6580,TRAN,Organization
6581,REGI,Organization
6582,AGRI,Organization
6583,PECH,Organization
6584,CULT,Organization
6585,JURI,Organization
6586,LIBE,Organization
6587,AFCO,Organization
6588,FEMM,Organization
6589,DEEA,Organization
6590,DSEE,Organization
6591,PETI,Organization
6592,D-RU,Organization
6593,D-UA,Organization
6594,D-MD,Organization
6595,D-BY,Organization
6596,DSCA,Organization
6597,D-IL,Organization
6598,DPAL,Organization
6599,DMAG,Organization
6600,DMAS,Organization
6601,DARP,Organization
6602,D-IQ,Organization
6603,D-IR,Organization
6604,D-US,Organization
6605,D-CA,Organization
6606,D-BR,Organization
6607,DCAM,Organization
6608,DAND,Organization
6609,DMER,Organization
6610,D-JP,Organization
6611,D-CN,Organization
6612,D-IN,Organization
6613,D-AF,Organization
6614,DSAS,Organization
6615,DASE,Organization
6616,DKOR,Organization
6617,DANZ,Organization
6618,DCAS,Organization
6619,D-ZA,Organization
6620,DPAP,Organization
6621,D-MK,Organization
6622,D-TR,Organization
6623,D-MX,Organization
6624,D-CL,Organization
6625,DCAR,Organization
6626,D-RS,Organization
6627,D-AL,Organization
6628,D-ME,Organization
6629,D-UK,Organization
6630,BURO,Organization
6631,BCPR,Organization
6632,QUE,Organization
6633,PRCO,Organization
6634,PRDE,Organization
6635,KPÖ,Organization
6636,SSW,Organization
6637,Æ,Organization
6638,Volt,Organization
6639,NSC,Organization
6640,AD,Organization
6641,IL,Organization
6642,L,Organization
6643,SUE,Organization
6644,DP,Organization
6645,SOS RO,Organization
6646,CNR,Organization
6647,Možemo!,Organization
6648,Revival,Organization
6649,JV,Organization
6650,LRP,Organization
6651,Slovensko,Organization
6652,LS,Organization
6653,LP,Organization
6654,CDU,Organization
6655,AS,Organization
6656,DSVL,Organization
6657,Maďarská Aliancia,Organization
6658,Vesna,Organization
6659,Resni.ca,Organization
6660,ZS,Organization
6661,F,Organization
6662,O,Organization
6663,V,Organization
6664,ER,Organization
6665,SDE,Organization
6666,PP,Organization
6667,PSOE,Organization
